dir,gap_abs,band,pos_band,breakout,mom20,tradeable_dn,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmax3,fmax5,fmax10,fmax20,fmax60,fclose_max3,fclose_max5,fclose_max10,fclose_max20,fclose_max60
down,0.01127049180327866,1-2%,-10~0,False,-0.05334626576139678,True,-0.08963730569948192,0.005181347150258864,0.042487046632124326,-0.09222797927461146,-0.07914046121593277,0.016771488469601747,0.05450733752620551,-0.08176100628930816,19.0,19.0,19.74,20.59,20.59,18.53,18.53,19.4,20.12,20.12
down,0.03561791689152727,3-5%,-10~0,False,-0.045829042224510785,True,0.015668718522663605,0.09569110240626744,0.11471740346950199,-0.026860660324566354,0.009454949944382562,0.08898776418242482,0.10789766407119017,-0.03281423804226913,18.32,18.44,19.91,20.59,20.59,17.68,18.15,19.58,20.12,20.12
down,0.010931806350858997,1-2%,-10~0,False,-0.0015592515592514067,True,0.054736842105263195,0.026315789473684292,-0.03842105263157902,-0.09526315789473683,0.019328585961342792,-0.008138351983723258,-0.07070193285859616,-0.12563580874872837,19.78,20.59,20.59,20.59,20.59,19.57,20.04,20.12,20.12,20.12
down,0.010681586978636859,1-2%,0~+10%,False,0.02236089443577738,True,0.03444730077120828,-0.0030848329048842604,-0.052442159383033427,-0.10488431876606685,0.043027475375842394,0.005184033177812353,-0.04458268532918608,-0.09745982374287188,20.06,20.59,20.59,20.59,20.59,20.0,20.12,20.12,20.12,20.12
down,0.01646706586826341,1-2%,0~+10%,False,0.026639344262294973,True,-0.016235413495687467,-0.11618467782851338,-0.08066971080669705,-0.1618467782851345,-0.03628230616302186,-0.1341948310139165,-0.09940357852882709,-0.17892644135188873,20.45,20.45,20.45,20.45,20.45,20.05,20.05,20.05,20.05,20.05
down,0.010160427807486494,1-2%,0~+10%,False,0.019073569482288777,True,-0.05078336034575914,-0.06482982171799045,-0.07131280388978933,-0.21717990275526744,-0.04406964091403698,-0.05821545157780195,-0.06474428726877024,-0.2116430903155604,18.88,18.88,18.88,18.88,18.88,18.27,18.27,18.27,18.27,18.27
down,0.012113870381587066,1-2%,0~+10%,False,0.01787916152897684,True,-0.02391171060698949,-0.12262415695892082,-0.06928264868179024,-0.11710606989576933,-0.01910043130006167,-0.1182994454713493,-0.06469500924214422,-0.11275415896487984,16.31,16.31,16.31,16.31,16.66,16.19,16.19,16.19,16.19,16.42
down,0.010437051532941943,1-2%,-10~0,False,-0.031585596967782736,True,-0.04482531311799598,-0.03823335530652605,0.0804218852999341,-0.0665787738958471,-0.015625,-0.008831521739130488,0.11345108695652173,-0.03804347826086962,14.86,14.98,14.98,16.54,16.66,14.57,14.9,14.9,16.39,16.42
down,0.011667810569663706,1-2%,<=-10%,False,-0.14243672748675684,True,0.02083333333333326,0.04027777777777786,0.10555555555555562,-0.03402777777777777,-0.0134228187919464,0.005369127516778427,0.06845637583892605,-0.06644295302013425,14.93,14.93,15.31,16.66,16.66,14.49,14.7,15.2,16.4,16.42
down,0.018120805369127524,1-2%,<=-10%,False,-0.12865497076023402,True,-0.002734107997265922,0.015037593984962294,0.07997265892002736,-0.03485987696514026,0.0069013112491373985,0.024844720496894457,0.09040717736369919,-0.02553485162180824,14.71,14.85,15.31,16.66,16.66,14.45,14.7,15.2,16.4,16.42
down,0.013605442176870652,1-2%,<=-10%,False,-0.1234347048300537,True,0.024137931034482696,0.1303448275862069,0.09310344827586214,-0.008965517241379395,0.017820424948594926,0.12337217272104195,0.08636052090472934,-0.015078821110349638,15.31,15.31,16.54,16.66,16.66,15.2,15.2,16.39,16.42,16.42
down,0.012016021361815787,1-2%,-10~0,False,-0.05786163522012577,True,0.1074324324324325,0.06756756756756754,0.057432432432432456,-0.011486486486486536,0.10370370370370385,0.06397306397306401,0.05387205387205385,-0.014814814814814725,15.57,16.54,16.66,16.66,16.66,15.38,16.39,16.4,16.42,16.42
down,0.016443361753958774,1-2%,>+10%,False,0.14744933612858158,True,-0.08049535603715163,-0.05139318885448907,-0.09473684210526312,-0.18018575851393182,-0.0660377358490567,-0.03647798742138364,-0.08050314465408814,-0.1672955974842767,16.05,16.19,16.19,16.19,16.19,15.85,16.06,16.06,16.06,16.06
down,0.010752688172043001,1-2%,0~+10%,False,0.04150197628458496,True,-0.020460358056266004,-0.06457800511508949,-0.07992327365728902,-0.1681585677749361,-0.046077210460771956,-0.08904109589041087,-0.10398505603985042,-0.18991282689912825,15.91,15.93,15.93,15.93,15.93,15.65,15.65,15.65,15.65,15.65
down,0.024283935242839227,2-3%,0~+10%,False,0.07066666666666666,True,-0.02233567326100827,-0.08232291001914482,-0.0944479897894065,-0.1825143586470963,0.031649831649831706,-0.031649831649831595,-0.04444444444444451,-0.13737373737373737,15.93,15.93,15.93,15.93,15.93,15.65,15.65,15.65,15.65,15.65
down,0.019582245430809442,1-2%,-10~0,False,-0.0039011703511053764,True,-0.027296937416777634,0.0,-0.056591211717709644,-0.17310252996005326,-0.02339572192513384,0.00401069518716568,-0.05280748663101609,-0.1697860962566845,14.94,14.94,15.04,15.07,15.27,14.63,14.63,15.02,15.02,15.02
down,0.01025290498974707,1-2%,<=-10%,False,-0.10792682926829256,True,0.00966850828729271,-0.02002762430939231,-0.011049723756906049,-0.14986187845303867,0.016689847009735637,-0.013212795549374268,-0.00417246175243402,-0.14394993045897075,14.73,14.89,15.07,15.07,15.27,14.71,14.75,15.02,15.02,15.02
