dir,gap_abs,band,pos_band,breakout,mom20,tradeable_up,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmin3,fmin5,fmin10,fmin20,fmin60,fclose_min3,fclose_min5,fclose_min10,fclose_min20,fclose_min60
up,0.016972165648336812,1-2%,-10~0,False,-0.016688918558077415,True,-0.028704939919893202,-0.03805073431241657,-0.060080106809078826,-0.13818424566088117,-0.07028753993610226,-0.07923322683706069,-0.10031948881789143,-0.17507987220447285,14.97,14.46,14.11,14.04,12.62,15.32,14.55,14.38,14.08,12.81
up,0.012578616352201255,1-2%,0~+10%,False,0.02746365105008075,True,-0.041925465838509424,-0.056677018633540355,-0.10869565217391308,0.02795031055900621,-0.0471042471042471,-0.06177606177606165,-0.11351351351351346,0.022393822393822482,12.56,12.32,11.81,11.31,10.22,12.56,12.34,12.0,11.34,10.34
up,0.011560693641618602,1-2%,-10~0,False,-0.029647435897436014,True,-0.07428571428571429,-0.08571428571428574,-0.14775510204081632,0.06367346938775498,-0.04384485666104554,-0.05564924114671166,-0.1197301854974705,0.09865092748735238,11.41,11.31,11.16,10.22,10.22,11.47,11.34,11.2,10.34,10.34
up,0.023919043238270543,2-3%,-10~0,False,-0.041446208112874805,True,0.04132973944294682,0.09344115004492348,0.23090745732255158,0.2416891284815812,0.013998250218722585,0.06474190726159224,0.19860017497812765,0.2090988626421697,11.7,11.57,11.22,11.22,11.22,11.82,11.59,11.46,11.46,11.46
up,0.023622047244094446,2-3%,-10~0,False,-0.008673026886383273,True,-0.02051282051282033,0.00940170940170959,0.12051282051282053,0.19316239316239336,-0.041004184100418284,-0.01171548117154797,0.09707112970711296,0.1682008368200838,11.58,11.22,11.22,11.22,11.22,11.69,11.46,11.46,11.46,11.46
up,0.029635901778154006,2-3%,>+10%,False,0.142166344294004,True,0.10444078947368407,0.08881578947368429,0.078125,0.16529605263157898,0.03387220939183977,0.019245573518090753,0.009237875288683473,0.09083910700538866,12.69,12.69,12.69,12.67,12.67,12.9,12.9,12.9,12.76,12.76
up,0.026861089792785897,2-3%,>+10%,False,0.2257761053621823,True,-0.001494768310911887,-0.02092675635276542,-0.0261584454409568,0.06801195814648708,0.01984732824427482,0.0,-0.005343511450381699,0.09083969465648845,12.69,12.69,12.69,12.67,12.67,12.9,12.9,12.9,12.76,12.76
up,0.014728682170542573,1-2%,>+10%,False,0.1922365988909427,True,0.0015278838808250317,-0.0038197097020626902,0.051948051948051965,0.04583651642475162,-0.03104212860310418,-0.03621581670362162,0.017738359201773912,0.01182557280118246,13.03,13.03,12.94,12.67,12.67,13.15,13.11,13.04,12.76,12.76
up,0.03106411103767348,3-5%,>+10%,False,0.1683397683397685,True,-0.10256410256410253,-0.11410256410256403,-0.12243589743589745,-0.21282051282051284,-0.07590759075907594,-0.08778877887788783,-0.09636963696369638,-0.18943894389438953,14.27,13.86,13.6,13.43,12.03,14.6,14.0,13.82,13.43,12.1
up,0.013986013986014179,1-2%,-10~0,False,-0.07808022922636115,True,-0.01992337164750968,-0.03984674329501925,-0.037547892720306564,-0.09808429118773954,-0.01992337164750968,-0.03984674329501925,-0.037547892720306564,-0.09808429118773954,12.55,12.5,12.46,12.3,11.5,12.57,12.57,12.53,12.48,11.59
